,Latitude,Longitude,Dec 25
29,41.5,-72.56,1.0
32,41.34,-72.52,0.7
36,41.53,-72.85,0.2
37,41.51,-72.71,0.5
38,41.73,-71.85,2.5
39,41.36,-71.97,0.5
40,41.35,-71.98,0.7
46,41.34,-72.1,0.0
47,41.6,-73.47,0.5
48,41.51,-73.44,0.5
50,41.66,-72.74,0.4
52,41.31,-72.21,0.5
53,41.97,-73.22,1.0
54,41.89,-72.9,1.5
55,42.02,-72.82,2.0
58,41.13,-73.45,0.5
59,41.58,-72.08,1.5
60,41.53,-72.07,0.0
61,41.48,-72.21,1.0
64,41.35,-71.85,0.5
70,41.31,-73.16,0.0
71,41.98,-72.45,2.5
72,41.98,-72.48,1.5
74,41.61,-72.82,1.0
76,42.0,-72.26,2.0
78,41.35,-71.91,0.5
82,42.03,-72.63,2.0
84,41.69,-73.06,0.0
85,41.97,-72.18,3.0
86,41.86,-72.48,2.5
87,41.49,-72.85,0.5
90,41.6,-73.12,0.7
95,41.84,-72.22,1.0
97,41.96,-73.09,1.2
99,41.53,-73.22,0.5
4,39.67,-75.61,0.0
1,27.18,-81.35,0.0
2,27.59,-81.53,0.0
3,28.47,-82.45,0.0
4,28.06,-82.49,0.0
5,30.78,-85.55,0.0
6,30.78,-86.52,0.0
9,29.17,-81.07,0.0
10,30.39,-86.47,0.0
11,26.2,-80.18,0.0
12,26.08,-80.16,0.0
13,26.58,-81.86,0.0
14,26.54,-81.76,0.0
15,27.5,-80.38,0.0
16,27.57,-82.14,0.0
17,29.69,-82.28,0.0
18,26.0,-80.24,0.0
19,30.34,-81.51,0.0
20,30.5,-81.69,0.0
21,24.57,-81.76,0.0
22,24.56,-81.76,0.0
24,27.99,-82.01,0.0
25,28.82,-81.81,0.0
27,24.73,-81.05,0.0
30,30.11,-83.18,0.0
31,28.1,-80.64,0.0
33,25.79,-80.32,0.0
34,25.64,-80.43,0.0
35,25.91,-80.28,0.0
36,30.44,-83.99,0.0
37,26.15,-81.78,0.0
40,28.55,-81.34,0.0
41,28.42,-81.32,0.0
42,28.78,-81.24,0.0
43,29.26,-81.05,0.0
44,30.25,-85.66,0.0
45,30.48,-87.19,0.0
46,30.1,-83.57,0.0
47,26.25,-80.11,0.0
48,26.92,-81.99,0.0
51,28.34,-82.26,0.0
52,27.4,-82.56,0.0
53,27.77,-82.63,0.0
54,27.91,-82.69,0.0
56,27.12,-80.2,0.0
57,30.45,-84.3,0.0
59,30.4,-84.36,0.0
61,27.96,-82.54,0.0
62,27.66,-80.41,0.0
64,26.69,-80.1,0.0
65,30.12,-85.2,0.0
66,28.06,-81.76,0.0
2,31.54,-82.51,0.0
3,34.44,-83.52,0.0
4,32.03,-84.25,0.0
5,33.56,-82.34,0.0
7,34.01,-83.81,0.0
8,33.37,-81.96,0.0
9,34.85,-83.94,0.0
11,32.38,-81.67,0.0
12,31.15,-81.39,0.0
13,31.19,-84.2,0.0
14,34.37,-83.23,0.0
16,33.6,-85.08,0.0
17,34.06,-85.23,0.0
18,34.76,-84.76,0.0
19,34.62,-83.54,0.0
20,34.89,-83.4,0.0
21,34.59,-83.77,0.0
23,34.26,-83.49,0.0
24,31.99,-83.77,0.0
26,34.52,-83.53,0.0
27,31.85,-83.94,0.0
28,34.23,-84.13,0.0
29,34.51,-84.02,0.0
30,34.0,-84.75,0.0
31,34.12,-83.3,0.0
32,34.98,-83.39,0.0
33,31.03,-84.89,0.0
34,33.94,-84.27,0.0
35,32.56,-82.9,0.0
36,34.14,-82.86,0.0
37,34.3,-83.86,0.0
38,34.91,-83.46,0.0
39,34.35,-82.93,0.0
40,32.28,-83.47,0.0
41,34.48,-84.45,0.0
42,32.71,-82.54,0.0
43,33.78,-82.47,0.0
45,33.01,-82.39,0.0
46,33.48,-84.03,0.0
47,32.32,-84.07,0.0
48,31.18,-83.75,0.0
49,32.17,-82.6,0.0
50,32.61,-85.08,0.0
